65420037         1000000200020908032201470000000009083000000000000000
65420030         10000002000209080322013c0000000009083000000000000000
65420031         10000002000209080322013d0000000009083000000000000000
65420032         10000002000209080322013f0000000009083000000000000000
65420033         1000000200020908032201400000000009083000000000000000
6542004c         1000000200020908032202220000000009083000000000000000
6542004d         1000000200020908032202230000000009083000000000000000
6542004e         1000000200020908032202240000000009083000000000000000
6542004f         10000002000209080322017c0000000009083000000000000000
65420048         1000000200020908032202120000000009083000000000000000
65420049         1000000200020908032202130000000009083000000000000000
6542004a         1000000200020908032202140000000009083000000000000000
6542004b         1000000200020908032202210000000009083000000000000000
65420044         1000000200020908032201660000000009083000000000000000
65420045         10000002000209080322016d0000000009083000000000000000
65420046         10000002000209080322016e0000000009083000000000000000
65420047         1000000200020908032202110000000009083000000000000000
65420040         1000000200020908032201620000000009083000000000000000
65420041         1000000200020908032201630000000009083000000000000000
65420042         1000000200020908032201640000000009083000000000000000
65420043         1000000200020908032201650000000009083000000000000000
6542005c         1000000200020908032202420000000009083000000000000000
6542005d         1000000200020908032202430000000009083000000000000000
6542005e         1000000200020908032202440000000009083000000000000000
6542005f         1000000200020908032202450000000009083000000000000000
65420058         1000000200020908032201850000000009083000000000000000
65420059         1000000200020908032201890000000009083000000000000000
6542005a         1000000200020908032201aa0000000009083000000000000000
6542005b         1000000200020908032201ab0000000009083000000000000000
65420054         1000000200020908032202320000000009083000000000000000
65420055         1000000200020908032202330000000009083000000000000000
65420056         1000000200020908032202340000000009083000000000000000
65420057         1000000200020908032201840000000009083000000000000000
65420050         10000002000209080322017d0000000009083000000000000000
65420051         10000002000209080322017e0000000009083000000000000000
65420052         10000002000209080322017f0000000009083000000000000000
65420053         1000000200020908032202310000000009083000000000000000
6542006c         0808fc00042f100500
6542006d         0908fc00052f101003ff
6542006e         0808fc00042f101000
6542006f         0908fc00052f101103ff
65420068         0808fc00042f100300
65420069         0908fc00052f100403ff
6542006a         0808fc00042f100400
6542006b         0908fc00052f10050301
65420064         0808fc00042f100100
65420065         0908fc00052f100203ff
65420066         0808fc00042f100200
65420067         0908fc00052f100303ff
65420060         10000002000209080322018a0000000009083000000000000000
65420061         1000000200020908032201520000000009083000000000000000
65420062         1000000200020908032250000000000009083000000000000000
65420063         0908fc00052f10010301
65420070         0808fc00042f101100
65420071         0908fc00052f10120301
65420072         0808fc00042f101200
65440004         01010000000080acf1013e5c
65440005         02024000000080acf1041800800000
65440006         02024000000080acf1041801800000
65440007         02024000000080acf10314800000
65440001         020140000001191980acf101819f
65440002         0101800003e880acf1013e5c
65440003         02024000000080acf10182a0
651a000c         0202400000008028f002210100
651a000d         0202400000008028f002210600
651a000e         0202400000008028f00331020100
651a000f         088028f00330010000
651a0008         0202400000008028f00314ff0000
651a0009         0202400000008028f0021a9100
651a000a         0202400000008028f0021a9200
651a000b         0202400000008028f0021a9a00
651a0004         0202400000008128f0821b
651a0005         0101000000008128f03ed7
651a0006         0202400000008028f0041801ff0000
651a0007         0202400000008028f0041800ff0000
651a0001         02014000000119198128f0811a
651a0002         0202400000008028f00210812b
651a0003         0101800003e88128f03ed7
651a001c         088028f00330071100
651a001d         088028f00330080000
651a001e         088028f00330081100
651a001f         088028f00330090000
651a0018         088028f00330051100
651a0019         088028f00330060000
651a001a         088028f00330061100
651a001b         088028f00330070000
651a0014         088028f00330031100
651a0015         088028f00330040000
651a0016         088028f00330041100
651a0017         088028f00330050000
651a0010         088028f00330011100
651a0011         088028f00330020000
651a0012         088028f00330021100
651a0013         088028f00330030000
651a0024         078028f002310000
651a0020         088028f00330091100
651a0021         088028f003301e2000
651a0022         088028f003301e1100
651a0023         088028f00331023200
651a4101         088028f0033b20aaa0
651a4102         088028f0033b20554b
651a4103         088028f0033b20fff5
651a4201         088028f0033b455570
651a4202         088028f0033b45aac5
6518000c         08842cf13bd7011900
6518000d         08842cf13bd7020600
6518000e         08842cf13bd7021900
6518000f         06822cf13bd000
65180008         020240000000822cf1218000
65180009         020240000000822cf121b000
6518000a         020240000000822cf121c000
6518000b         08842cf13bd7010600
65180004         010100000000812cf13edc
65180005         020240000000822cf1218a00
65180006         020240000000822cf1218c00
65180007         020240000000832cf114ff0000
65180001         0201400000011919812cf1811f
65180002         0101800003e8812cf13edc
65180003         020240000000812cf18220
65180010         06822cf13be000
65180011         020240000000822cf1218848
65184100         06822cf121b070
65184101         09852cf13bb000000000
65184200         06822cf121c070
65184201         09852cf13bc000000000
65190004         0101000000008131f13ee1
65190005         0202400000008431f11800ff0000
65190006         0202400000008331f114ff0000
65190007         0202400000008231f11a8000
65190001         02014000000119198131f18124
65190002         0101800003e88131f13ee1
65190003         0202400000008131f18225
65194101         078331f10088012e
6512000c         0202400000008211f1210a00
6512000d         0202400000008211f1210b00
6512000e         0202400000008211f121a000
6512000f         0202400000008211f121a100
65120008         0202400000008211f1210300
65120009         0202400000008211f1210400
6512000a         0202400000008211f1210500
6512000b         0202400000008211f1210900
65120004         0101000000008111f13ec1
65120005         0202400000008411f11910ff0000
65120006         0202400000008311f114ff0000
65120007         0202400000008211f11a8000
65120001         02014000000119198111f18104
65120002         0101800003e88111f13ec1
65120003         0202400000008111f18205
6512001c         0202400000008311f122001400
6512001d         0202400000008311f122001500
6512001e         0202400000008311f122001c00
6512001f         0202400000008311f122002100
65120018         0202400000008311f122000d00
65120019         0202400000008311f122000e00
6512001a         0202400000008311f122000f00
6512001b         0202400000008311f122001100
65120014         0202400000008311f122000600
65120015         0202400000008311f122000700
65120016         0202400000008311f122000b00
65120017         0202400000008311f122000c00
65120010         0202400000008211f121c000
65120011         0202400000008311f122000300
65120012         0202400000008311f122000400
65120013         0202400000008311f122000500
6512002c         0202400000008311f12211a100
6512002d         0202400000008311f12211a300
6512002e         0202400000008311f12211a600
6512002f         0202400000008311f12211ac00
65120028         0202400000008311f122119200
65120029         0202400000008311f122119300
6512002a         0202400000008311f122119d00
6512002b         0202400000008311f122119e00
65120024         0202400000008311f122110400
65120025         0202400000008311f122114100
65120026         0202400000008311f122116f00
65120027         0202400000008311f122117c00
65120020         0202400000008311f122110000
65120021         0202400000008311f122110100
65120022         0202400000008311f122110200
65120023         0202400000008311f122110300
6512003c         0202400000008311f122121e00
6512003d         0202400000008311f122122100
6512003e         0202400000008311f122122700
6512003f         0202400000008311f122122800
65120038         0202400000008311f122120700
65120039         0202400000008311f122120800
6512003a         0202400000008311f122121200
6512003b         0202400000008311f122121a00
65120034         0202400000008311f122120300
65120035         0202400000008311f122120400
65120036         0202400000008311f122120500
65120037         0202400000008311f122120600
65120030         0202400000008311f12211d700
65120031         0202400000008311f122120000
65120032         0202400000008311f122120100
65120033         0202400000008311f122120200
6512004c         0202400000008311f12212ef00
6512004d         0202400000008311f12212f000
6512004e         0202400000008311f122133c00
6512004f         0202400000008311f122133d00
65120048         0202400000008311f122129200
65120049         0202400000008311f12212a700
6512004a         0202400000008311f12212d400
6512004b         0202400000008311f12212e200
65120044         0202400000008311f122123900
65120045         0202400000008311f122123f00
65120046         0202400000008311f122124100
65120047         0202400000008311f122124300
65120040         0202400000008311f122123500
65120041         0202400000008311f122123600
65120042         0202400000008311f122123700
65120043         0202400000008311f122123800
6512005c         0202400000008311f122150b00
6512005d         0202400000008311f122161600
65120058         0202400000008311f122150400
65120059         0202400000008311f122150500
6512005a         0202400000008311f122150600
6512005b         0202400000008311f122150900
65120054         0202400000008311f122144b00
65120055         0202400000008311f122144c00
65120056         0202400000008311f122150000
65120057         0202400000008311f122150100
65120050         0202400000008311f122133e00
65120051         0202400000008311f122133f00
65120052         0202400000008311f12213c000
65120053         0202400000008311f12213c100
6515000c         088411f1301207ff00
6515000d         088411f13012070000
6515000e         088411f1301307ff00
6515000f         088411f13013070000
65150008         0202400000008211f1210100
65150009         088411f1301007ff00
6515000a         088411f13010070000
6515000b         088411f13011077f00
65150004         0101000000008111f13ec1
65150005         0202400000008411f11800000000
65150006         0202400000008311f114000000
65150007         0202400000008211f11a8000
65150001         02014000000119198111f18104
65150002         0101800003e88111f13ec1
65150003         0202400000008111f18200
6515001c         098511f1302007000400
6515001d         098511f1302007ff0400
6515001e         088411f13024070c00
65150018         098511f1302007000200
65150019         098511f1302007ff0200
6515001a         098511f1302007000300
6515001b         098511f1302007ff0300
65150014         088411f1301807ff00
65150015         088411f13018070000
65150016         098511f1302007000100
65150017         098511f1302007ff0100
65150010         088411f1301407ff00
65150011         088411f13014070000
65150012         088411f1301507ff00
65150013         088411f13015070000
650a000c         10000002000209080322f1900000000009083000000000000000
650a000d         10000002000209080322fd080000000009083000000000000000
650a0008         10000002000209080322f1970000000009083000000000000000
650a0009         10000002000209080322f1930000000009083000000000000000
650a000a         10000002000209080322f1950000000009083000000000000000
650a000b         10000002000209080322f18c0000000009083000000000000000
650a0004         1000000200020908031902080000000009083000000000000000
650a0005         10000002000209080414ffffff00000009083000000000000000
650a0006         10000002000209080322f1870000000009083000000000000000
650a0007         10000002000209080322f18a0000000009083000000000000000
650a0001         10000001000009080210010000000000
650a0002         010280ff07d00908023e000000000000
650a0003         0102000000000908023e000000000000
650a4401         0808e700043101f001
650a4402         0808e700043103f001
650a4301         0808e700043101f000
650b4101         0b08c0000004330000000000
6508000c         10000002000209080322f1a400000000090830080a0000000000
6508000d         10000002000209080322fd0000000000090830080a0000000000
6508000e         10000002000209080322fd0100000000090830080a0000000000
6508000f         10000002000209080322fd0200000000090830080a0000000000
65080008         10000002000209080322f19000000000090830080a0000000000
65080009         10000002000209080322f19500000000090830080a0000000000
6508000a         10000002000209080322f18a00000000090830080a0000000000
6508000b         10000002000209080322f18b00000000090830080a0000000000
65080004         1000000200020908031902ab00000000090830080a0000000000
65080005         10000002000209080414ffffff000000090830080a0000000000
65080006         10000002000209080322f18600000000090830080a0000000000
65080007         10000002000209080322f18700000000090830080a0000000000
65080001         10000001000009080210010000000000
65080002         010280ff07d00908023e000000000000
65080003         0102000000000908023e000000000000
65080010         10000002000209080322fd0300000000090830080a0000000000
65080011         10000002000209080322fd0400000000090830080a0000000000
65080012         10000002000209080322fd0500000000090830080a0000000000
65084501         0808e200042efd0604
65084502         0808e200042efd0605
6509000c         10000002000209080322f1870000000009083000000000000000
6509000d         10000002000209080322f1880000000009083000000000000000
6509000e         10000002000209080322f1890000000009083000000000000000
6509000f         10000002000209080322f1900000000009083000000000000000
65090008         10000002000209080322f1930000000009083000000000000000
65090009         10000002000209080322f1940000000009083000000000000000
6509000a         10000002000209080322f1950000000009083000000000000000
6509000b         10000002000209080322f1860000000009083000000000000000
